Marque;Modèle;Filaire;Réf constructeur;PRIX;Mono/Bino;Poids;Connexion;Connectivité;Garantie;Microsoft Skype;Styles de port;Options;Portée;Talk time;Autonomie;Support Bruit au travail;Nombre de micros;Dongle
JABRA;MOTION UC MS;Sans Fil;6630-900-341;160;Mono;17,5g;;GSM + PC;2 ans;Oui;0;0;10m - 50/120m(PC);6h;360h;0;2;Oui
JABRA;PRO 935;Sans Fil;935-15-509-201 ;259;Mono;28g;;GSM + PC;1 an;Non;0;0;100m;10h;150h;0;0;Non
JABRA;PRO 935 MS;Sans Fil;935-15-503-201;259;Mono;28g;;GSM + PC;1 an;Oui;0;0;100m;10h;150h;0;0;Non
JABRA;EVOLVE 65 MONO;Sans Fil;6593-829-409;155;Mono;79g;;GSM + PC;2 ans;Non;0;0;30m;10h;15 jours;0;1;Oui
JABRA;EVOLVE 65 MONO MS;Sans Fil;6593-823-309;155;Mono;79g;;GSM + PC;2 ans;Oui;0;0;30m;10h;15 jours;0;1;Oui
JABRA;EVOLVE 65 BINO;Sans Fil;6599-829-409;165;Bino;111g;;GSM + PC;2 ans;Non;0;0;30m;10h;15 jours;0;1;Oui
JABRA;EVOLVE 65 BINO MS;Sans Fil;6599-823-309;165;Bino;111g;;GSM + PC;2 ans;Oui;0;0;30m;10h;15 jours;0;1;Oui
PLANTRONICS;Voyager Legend UC;Sans Fil;87670-02;149;Mono;18g;;GSM + PC;2 ans;Non;0;0;10m;7h;11 jours;0;3;Non
PLANTRONICS;Voyager Legend UC - M;Sans Fil;87680-02;149;Mono;18g;;GSM + PC;2 ans;Oui;0;0;10m;7h;11 jours;0;3;Oui
PLANTRONICS;Voyager EDGE UC;Sans Fil;202310-02;149;Mono;9g;;GSM + PC;2 ans;Non;0;0;10m - 50m;7h;7 jours;0;3;Non
PLANTRONICS;Voyager EDGE UC MS;Sans Fil;202320-02;149;Mono;9g;;GSM + PC;2 ans;Oui;0;0;10m - 50m;7h;7 jours;0;3;Oui
PLANTRONICS;Voyager 5200 UC;Sans Fil;206110-01;169;Mono;20g;;GSM + PC;2 ans;Oui;0;0;10m - 50m;7h;7 jours;0;4;Oui
PLANTRONICS;Voyager Focus UC (sans socle);Sans Fil;202652-03;249;Bino;155g;;GSM + PC;2 ans;Non;0;0;45m;12h;15h;0;3;Non
PLANTRONICS;Voyager Focus UC;Sans Fil;202652-01;299;Bino;155g;;GSM + PC;2 ans;Non;0;0;45m;12h;15h;0;3;Non
PLANTRONICS;Voyager Focus UC - M (sans socle);Sans Fil;202652-04;249;Bino;155g;;GSM + PC;2 ans;Oui;0;0;45m;12h;15h;0;3;Oui
PLANTRONICS;Voyager Focus UC - M;Sans Fil;202652-02;299;Bino;155g;;GSM + PC;2 ans;Oui;0;0;45m;12h;15h;0;3;Oui
SENNHEISER;MB Pro 1 UC;Sans Fil;506042;219;Mono;63g;;GSM + PC;2 ans;Non;0;0;25m;15h;100h;0;0;Oui
SENNHEISER;MB Pro 1 UC ML;Sans Fil;506043;219;Mono;63g;;GSM + PC;2 ans;Oui;0;0;25m;15h;100h;0;0;Oui
SENNHEISER;MB Pro 2 UC;Sans Fil;506045;239;Bino;63g;;GSM + PC;2 ans;Non;0;0;25m;15h;100h;0;0;Oui
SENNHEISER;MB Pro 2 UC ML;Sans Fil;506046;239;Bino;63g;;GSM + PC;2 ans;Oui;0;0;25m;15h;100h;0;0;Oui
JABRA;PRO™ 9470 MONO;Sans Fil;9470-26-904-101;379;Mono;36,5g;;PC + TEL + GSM;2 ans;Non;0;0;150m;9h;40h;0;0;0
JABRA;PRO™ 9465 DUO;Sans Fil;9465-29-804-101;399;Bino;36,5g;;PC + TEL + GSM;2 ans;Non;0;0;150m;9h;40h;0;0;0
JABRA;MOTION OFFICE;Sans Fil;6670-904-141;350;Mono;17,5g;;PC + TEL + GSM;2 ans;Non;0;0;100m;8h;360h;0;0;0
JABRA;MOTION OFFICE MS;Sans Fil;6670-904-341;350;Mono;17,5g;;PC + TEL + GSM;2 ans;Oui;0;0;100m;8h;360h;0;0;0
PLANTRONICS;SAVI W710;Sans Fil;83545-12;359;Mono;72g;;PC + TEL + GSM;2 ans;Non;0;0;120m;9h;50h;0;0;0
PLANTRONICS;SAVI W710 - M;Sans Fil;84003-02;359;Mono;72g;;PC + TEL + GSM;2 ans;Oui;0;0;120m;9h;50h;0;0;0
PLANTRONICS;SAVI W720;Sans Fil;83544-12;389;Bino;94g;;PC + TEL + GSM;2 ans;Non;0;0;120m;9h;50h;0;0;0
PLANTRONICS;SAVI W720 - M;Sans Fil;84004-02;389;Bino;94g;;PC + TEL + GSM;2 ans;Oui;0;0;120m;9h;50h;0;0;0
PLANTRONICS;SAVI W730;Sans Fil;83543-12;359;Mono;25g;;PC + TEL + GSM;2 ans;Non;0;0;120m;7h;40h;0;0;0
PLANTRONICS;SAVI W730   - M;Sans Fil;84002-12;359;Mono;25g;;PC + TEL + GSM;2 ans;Oui;0;0;120m;7h;40h;0;0;0
PLANTRONICS;SAVI W740;Sans Fil;83542-12;359;Mono;21g;;PC + TEL + GSM;2 ans;Non;0;0;120m;7h;50h;0;0;0
PLANTRONICS;SAVI W740 -   M;Sans Fil;84001-12;359;Mono;21g;;PC + TEL + GSM;2 ans;Oui;0;0;120m;7h;50h;0;0;0
JABRA;PRO™ 9460 MONO;Sans Fil;9460-25-707-101;349;Mono;31g;;PC + TEL;2 ans;Non;Serre-tête -  Contour d'oreille;Contour de nuque;120m;10h;38h;Oui;0;0
JABRA; PRO™ 9460 DUO;Sans Fil;9460-29-707-101;369;Bino;34g;;PC + TEL;2 ans;Non;Serre-tête;Contour de nuque;120m;10h;38h;Oui;0;0
JABRA;PRO 9450 MONO;Sans Fil;9450-25-507-101;329;Mono;28g;;PC + TEL;2 ans;Non;Serre-tête -  Contour d'oreille;Contour de nuque;120m;10h;46h;Oui;0;0
JABRA;PRO 9450      DUO;Sans Fil;9450-29-707-101;350;Bino;28g;;PC + TEL;2 ans;Non;Serre-tête;Contour de nuque;120m;10h;46h;Oui;0;0
SENNHEISER;DW Office;Sans Fil;504300;349;Mono;50g;;PC + TEL;2 ans;Non;Serre-tête -  Contour d'oreille;0;120m;10h;100h;Non;0;0
SENNHEISER;DW Office ML;Sans Fil;504454;349;Mono;50g;;PC + TEL;2 ans;Oui;Serre-tête -  Contour d'oreille;0;120m;10h;100h;Non;0;0
SENNHEISER;DW Pro 1;Sans Fil;504304;349;Mono;65g;;PC + TEL;2 ans;Non;0;0;120m;10h;100h;Oui;0;0
SENNHEISER;DW Pro 1 ML;Sans Fil;504458;349;Mono;65g;;PC + TEL;2 ans;Oui;0;0;120m;10h;100h;Oui;0;0
SENNHEISER;DW Pro 2;Sans Fil;504308;369;Bino;85g;;PC + TEL;2 ans;Non;0;0;120m;10h;100h;Oui;0;0
SENNHEISER;DW Pro 2 ML;Sans Fil;504462;369;Bino;85g;;PC + TEL;2 ans;Oui;0;0;120m;10h;100h;Oui;0;0
JABRA;SPEAK 510 UC (Dongle);Sans Fil;7510-409;159;0;300g;;Speakerphone;2 ans;Non;0;0;100m;15h;0;0;0;Oui
JABRA;SPEAK 510 MS;Sans Fil;7510-109;129;0;300g;;Speakerphone;2 ans;Oui;0;0;100m;15h;0;0;0;0
JABRA;SPEAK 510;Sans Fil;7510-209;129;0;300g;;Speakerphone;2 ans;Non;0;0;100m;15h;0;0;0;0
JABRA;SPEAK 810;Sans Fil;7810-209;599;0;300g;;Speakerphone;2 ans;Non;0;0;100m;15h;0;0;0;0
JABRA;SPEAK 810 - M;Sans Fil;7810-109;599;0;300g;;Speakerphone;2 ans;Oui;0;0;100m;15h;0;0;0;0
PLANTRONICS;CALISTO 620;Sans Fil;86700-02;129;0;430g;;Speakerphone;2 ans;Non;0;0;50m;7h;5 jours;0;0;Oui
PLANTRONICS;CALISTO 620 - M;Sans Fil;86701-02;129;0;430g;;Speakerphone;2 ans;Oui;0;0;50m;7h;5 jours;0;0;Oui
